TLCD2	1	0
IFFO1	1	0
TAP2	1	0
FKBP2	0	1
MIR4263	1	0
MIR4265	1	0
LOC647323	0	1
MIR4294	1	0
RTN4R	1	0
MIR554	1	0
FAU	0	1
MIR556	1	0
MIR558	1	0
MIR410	1	0
THY1	0	1
SCLY	1	0
MIR3960	1	0
MIR1203	1	0
ZMYM4	0	1
GIP	1	0
GRINA	1	0
C17orf76-AS1	1	0
SEC14L1P1	0	1
MEG9	0	1
MEG8	0	1
SH3GL1P2	1	0
TRAPPC4	1	0
DDX47	0	1
MIR19B2	1	0
NPW	1	0
TCF19	0	1
MIR376A2	0	1
MIR376A1	1	0
SNORA70B	1	0
SNORD65	1	0
MIR23B	1	0
C1orf21	1	0
SNORD69	1	0
ZG16B	1	0
PANK2	1	0
MIR3689C	1	0
CCT3	0	1
LTC4S	0	1
GRM4	1	0
C12orf57	1	0
MIR4766	1	0
SNAR-A12	1	0
MIR4764	1	0
SNORD115-20	1	0
SNORD115-22	1	0
MOGAT2	0	1
ZNF382	1	0
MIR608	1	0
TMPRSS12	0	1
ESPNL	0	1
CCDC85B	0	1
VTRNA1-1	0	1
EFCAB4A	1	0
ZNF358	0	1
SNORD41	1	0
MIR191	1	0
SNORA68	1	0
SNORA69	0	1
MIR4717	1	0
SNORA65	1	0
OR6Y1	0	1
DCTN4	0	1
SNORD115-11	1	0
SNORA40	1	0
MIR4295	1	0
MIR122	1	0
TUG1	1	0
MIR129-1	1	0
ZNF81	1	0
RXRB	0	1
MIR411	1	0
EI24	0	1
MIR4787	1	0
FAM109B	0	1
AK2	1	0
MIR412	1	0
CTNNB1	0	1
MIR3656	1	0
WDR82	0	1
MIR499A	0	1
C1orf64	1	0
SNAR-C4	0	1
SNAR-C3	0	1
SNAR-C2	0	1
MIR3659	0	1
CXCR5	0	1
MIR518C	1	0
PSMC3	1	0
MIR518D	1	0
N4BP3	1	0
C1orf110	0	1
SNORD111B	1	0
MIR5186	1	0
MIR766	1	0
MIR769	1	0
SNW1	0	1
LOC100506314	0	1
IER5	0	1
CFD	1	0
MIR3153	1	0
MIR371B	1	0
SNORD33	1	0
SNORD30	1	0
DEFA11P	1	0
RND2	1	0
FUT4	1	0
ZNF540	1	0
CMTM5	0	1
LOC100996455	0	1
COL11A2	1	0
SNORA28	1	0
MIR4696	1	0
MIR494	1	0
MIR498	1	0
TLN1	0	1
MICA	0	1
WTAPP1	0	1
LOC100128338	0	1
PLEKHH3	1	0
PXT1	0	1
IFITM5	0	1
MIR3908	1	0
SENP3-EIF4A1	1	0
MIR1470	1	0
HLA-DRB6	0	1
ARRDC2	1	0
MIR518B	1	0
CLECL1	0	1
PTGES3	0	1
MIR545	0	1
MIR543	1	0
MIR541	1	0
CD2BP2	0	1
MIR940	1	0
LOC100289509	0	1
MIR4473	1	0
MIR1178	0	1
MIR4478	1	0
MIR4479	1	0
SPEN	0	1
AIF1	0	1
SLC11A2	0	1
PEAK1	0	1
CYP26B1	1	0
LOC149950	0	1
HDGFRP3	0	1
SNORD58C	1	0
MIR33B	0	1
ZNF181	1	0
BUB3	0	1
DAP3	0	1
SNORD71	1	0
HBE1	0	1
C1orf56	1	0
MIR938	1	0
SNORA9	1	0
SHISA5	0	1
SNORA1	1	0
MIR520C	1	0
SNORA3	1	0
MIR520G	1	0
MIR520D	1	0
SNORA6	1	0
PDGFRB	1	0
CHAD	1	0
MIR4755	1	0
ZNF233	1	0
SNORD115-37	0	1
MIR612	1	0
TIGD7	1	0
MIR597	1	0
MIR593	1	0
MIR759	1	0
SNORA5A	1	0
MIR205	1	0
SNORA5B	0	1
SH3D21	1	0
MTO1	1	0
TTC25	1	0
CST4	1	0
SEPHS2	1	0
ATRAID	0	1
LOC440300	0	1
OPN1LW	1	0
FRMD6-AS1	0	1
MIR4706	1	0
NRBP2	1	0
SNORA54	1	0
MIR4703	1	0
MIR1295A	1	0
AMIGO1	0	1
SNORD88A	1	0
SNORD88B	1	0
MIR369	1	0
EXOSC1	0	1
SNORA36A	1	0
NR1D2	0	1
MIR371A	1	0
MIR181C	1	0
LOC388152	0	1
MIR377	1	0
MIR373	1	0
RGL2	1	0
MIR98	1	0
MIR3940	1	0
PHLDA2	0	1
MIR877	1	0
C14orf37	0	1
MIR875	1	0
COL9A2	0	1
LSM7	0	1
MFSD4	0	1
CHRM1	1	0
MIR3646	1	0
LOC100129518	1	0
MIR22HG	1	0
LMNA	1	0
MIR1227	1	0
SNORA74B	1	0
VAMP1	0	1
SNORD31	1	0
PFKFB2	0	1
AOAH-IT1	0	1
MMP1	1	0
MIR519E	0	1
ADD3	0	1
LYVE1	0	1
TRIM10	0	1
MIR4315-1	1	0
BLCAP	1	0
MIR653	1	0
MIR656	1	0
MIR654	1	0
PPP1R3F	1	0
SNORD48	1	0
RSPH4A	1	0
CACNA1B	1	0
SNORA56	1	0
MIR4740	1	0
ERBB3	0	1
ZNF205	1	0
SNORA19	1	0
BMP8B	0	1
MIR4748	1	0
MIR4802	1	0
MIR4800	1	0
MIR125B1	1	0
SCARNA8	0	1
SNORD83A	1	0
USP35	1	0
BRD2	0	1
BRD3	1	0
MIR150	1	0
MIR152	1	0
MIR5196	1	0
SNHG4	0	1
MIR5194	1	0
SNHG1	0	1
MIR5193	1	0
MIR3155A	1	0
SNORA71B	1	0
