,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
NAV1,0,0,0,0,0.000150158,0.000516154,0,0.000659341,0,0.000743313,0.003908151,0.00058048,0.000451864,0.000998044,0,0.001801206,0,0,0,0.004617693
NSFP1,0,0,0,0,0,0,0,0,0.018514634,0,0,0,0,0,0.13040335,0,0,0,0,0
NAV3,0.105094043,0.07366003,0.29243673,0.096779611,0.013101365,0.018180878,0.097999202,0.012096831,0.018664187,0.006375053,0.025138793,0.0330112,0.017988738,0.014023667,0.076291595,0.015780467,0.007255794,0.003621675,0.017138049,0.003887223
NAV2,0,0.009977675,0,0,0.001376987,0.000604588,0.00733419,0,0.0020196,0.000925487,0,0.000702201,0,8.47E-05,0.005392135,0,0.00140114,0.002849759,0.005165106,0.006530102
LIG1,0.023911298,0.026392299,0,0.04338492,0.017300905,0.028223166,0.009222699,0.019351129,0.013019442,0.05994314,0.05959648,0.017666661,0.029534788,0.011711492,0.00805208,0.013187269,0.005487867,0,0,0.025864072
LIG3,0.13773931,0.070039015,0,0.075285645,0.020642048,0.06597436,0.044069305,0.030576865,0.021617647,0.029690712,0.04548367,0.020709851,0.019399095,0.00686481,0.018180878,0.007324882,0.022710668,0.021167978,0.015384039,0.022410713
IREB2,0.046152735,0.024788542,0.099859593,0.04507277,0.009086787,0.008328517,0.025475471,0.054637295,0.083996585,0.057344545,0.14211411,0.07554469,0.057448075,0.013554878,0.12097245,0.11077765,0.06739584,0.07370854,0.06101014,0.09197171
RNMTL1,0.03763918,0.024039564,0,0,0.002294796,0.021705244,0.01498887,0.03973902,0.005675443,0.042554105,0.023890135,0.03707505,0,0.015546946,0.039620465,0,0.019415223,0.009684958,0.009178154,0
BOLL,0.135222265,0.040935415,0,0.18725384,0.05994314,0.076600025,0.46405635,0.07117074,0.097225149,0.062393625,0.098381963,0.115185885,0.05746896,0.017300905,0.056195075,0.029333818,0.029409717,0.106251434,0.023462334,0.186883305
LOC100505702,0.068039635,0.03769545,0,0.019333555,0.011838479,0.014652555,0.023562946,0.026660306,0.054530255,0.04641287,0.015521488,0.026352424,0.016149862,0.0303078,0.04035089,0.009459946,0.019407124,0.007686384,0.03537526,0.008979774
BARHL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSPG4,0,0,0.097451686,0.009248283,0,0.001333688,0.007214794,0.000785306,0,0.000908491,0.005146999,0.001303415,0.001929934,0.000222483,0,0,0.00288008,0.002819411,0,0.004687689
CSPG5,0,0,0,0.00901265,0,0,0,0.00396389,0,0,0,0,0,0.0070786,0,0.013452734,0,0,0,0
SCGB2A1,0.33794965,0.74046285,2.829932,0.45314855,1.32250755,1.7078911,0.78810245,1.5928735,4.5907695,5.8730085,1.55863335,0.76166335,0.7826484,0.3618985,0.5610605,0.2363282,0.11584897,0.54824945,0.184316075,0
SCGB2A2,0,0.106577655,0,0,0,0,0,0,0,0,0,0,0,0.017134543,0,0,0,0,0,0
ZKSCAN1,0,0,0,0.011343649,0.000135823,0.000875869,0,0.002662174,0.001536856,0.001211835,0.005865082,0.003330938,0.003422102,0.009135155,0.006001857,0.002596447,0.008485199,0.006272334,0.001448778,0.001586347
ZKSCAN3,0,0,0,0.01157011,0,0,0,0.001474469,0,0.001641561,0,0,0,0.000589203,0,0,0,0,0,0.004440846
ZKSCAN2,0.023562946,0.020831426,0,0.013291344,0.006951462,0.008124678,0.027239904,0.023303617,0.013421104,0.017145033,0.005352127,0.00403492,0.01330661,0.012544785,0.005568639,0.014484817,0.024809097,0.008566465,0.002669375,0.005252086
ZKSCAN5,0.077616055,0.110989115,0,0.058428885,0.095318541,0.131684415,0.075285645,0.098535473,0.101257127,0.106043515,0.06857261,0.11861391,0.107924965,0.24393828,0.104845262,0.07699635,0.132674305,0.11660471,0.11905646,0.086588465
ZKSCAN4,0.1128793,0.050833675,0,0.082488555,0.020512198,0.036760405,0.06764964,0.02522125,0.011252849,0.053122815,0.027367368,0.05206995,0.01502354,0,0.017131037,0.034094275,0.011099084,0.004008315,0.022287023,0.00437716
ZKSCAN7,0,0,0,0,0.005627309,0,0,0.001969733,0,0.012152247,0,0,0,0.001912966,0,0.007857893,0,0,0,0
ZKSCAN8,0,0,0,0.021248997,0.009847942,0.007863512,0.006382063,0.001125014,0.010746373,0.002893562,0,0.008060925,0.009655721,0.000658133,0.008606301,0.006937695,0,0.008639394,0.00830628,0
LOC645513,0,0,0,0,0,0,0,0,0.000980408,0,0,0,0,0,0,0,0,0,0,0
