,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
MTVR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRX,0,0.010886145,0,0.010288752,0.011181592,0.006341445,0.006228723,0.05209943,0.11714706,0.045804425,0.127865015,0.14400052,0.064381715,0.32232245,0.093251614,0.08712162,0.152291555,0.122011765,0.17018676,0.240402323
LOC441204,0,0,0,0.09107653,0,0.006928509,0.016626381,0.005594564,0,0,0,0,0,0,0,0,0,0,0,0
TCOF1,0.172476535,0.180229955,0,0.20890092,0.070285865,0.09825497,0.33381575,0.39432425,0.163229105,0.3680202,0.31512065,0.219977365,0.29203547,0.113309315,0.178860835,0.19660768,0.167909835,0.23004172,0.11848349,0.183344375
NSRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPPL3,0,0,0,0,0.001287766,0,0.007329134,0.000555053,0.002032805,0.005282969,0,0.000900576,0.001950693,0.002726309,0,0,0.004574796,0.002873871,0.004477343,0.008789477
OPA3,0,0,0,0,0.00199415,0,0.005987621,0.000840949,0.002138038,0.001891029,0,0.005349201,0.001117082,0.003102674,0,0,0,0.002696877,0.003451434,0.010522396
OPA1,0,0.01057685,0,0.018726368,0.007602316,0.002311923,0.016040628,0.000992218,0.004244941,0.005747724,0.010998498,0.002771678,0.001298465,0.000462673,0.010150435,0.003956153,0.005238396,0.003218842,0.00258537,0.008544999
ITGA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA9,0,0,0,0,0,0.001525581,0,0,0,0,0,0,0,0,0,0,0,0,0.011716003,0
ITGA1,0,0,0,0.016778468,0.000165066,0.006440622,0.01105604,0,0,0.003336862,0,0,0.001641561,0,0.006315526,0,0.003811694,0.003709731,0,0.011599764
ITGA2,0.016439175,0,0,0.009388662,0.001476677,0.001524315,0,0.010304559,0.008432747,0.00697952,0.027166989,0.003328674,0.009101247,0.000259018,0.01256374,0.007846804,0.013863689,0.006094477,0.007396374,0.004715513
ITGA3,0,0,0,0.0108771,0.004495993,0.014465004,0.006710377,0.010370166,0.005662208,0.014598521,0,0.020034271,0.022611758,0.03078546,0.018686474,0.024725952,0.012757122,0.013053117,0.026195391,0.011359459
ITGA4,0,0.010644553,0,0,0.002872111,0.002406017,0.009049857,0.005172095,0.004365782,0.004049868,0,0.004269438,0.006368618,0.009456138,0.015327728,0.004057159,0.010242962,0.007571748,0.017891647,0.008785202
ITGA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004446334
ITGA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA7,0,0,0,0,0.001912326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRHR,0,0,0,0.028411656,0,0,0,0,0,0,0,0.028382978,0,0.012001891,0,0.010350993,0,0,0,0
LOC100132287,0.014389547,0.00868984,0.093432165,0.00792361,9.53E-06,0,0.004638599,0.000331844,0.000514984,0.292709695,0.00377876,0.000467883,0.00044304,1.38E-05,0.003959211,0.001126172,0.00136211,0.3312115,0.000752361,1.0662909
UFSP2,0,0,0,0,0,0,0,0,0,0,0,0.003898979,0,0,0,0.003322715,0,0,0,0
FAM212B,0,0,0,0,0.000125893,0.000493259,0,0.000863953,0,0,0,0,0,2.37E-05,0,0.001198344,0,0,0,0.001932634
FAM212A,0.06312108,0,0,0,0.020272161,0,0,0.021533333,0.023799805,0.011481492,0,0,0.07984064,0.168233195,0,0.031794195,0,0.059245545,0.058607735,0.022791179
CHST9,0,0,0,0,0.016251252,0.004302209,0,0,0.00917316,0,0.011099084,0.016931392,0.021137279,0.020200279,0,0,0,0,0.014764136,0.037712715
CHST8,0.04944391,0.086588465,0,0.016922801,0.06305994,0.06575722,0.05584566,0.058875865,0.016939973,0.037712715,0.021859096,0.041658715,0.011500859,0.13049203,0.028625652,0.039620465,0.030044981,0.05788654,0.071431585,0.060739775
CHST1,0,0,0,0,0.000216139,0.011882717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST3,0.016758366,0.018572153,0.205080335,0.012738414,0.004843961,0.003659129,0.038545015,0.003086483,0.009431844,0.003454671,0.005520654,0.008614147,0.000723015,0.000386975,0.011535459,0.002214328,0,0.003128418,0.002673489,0.005481218
CHST2,0,0,0,0,0.000202755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST5,0,0,0,0,0,0.002230339,0,0,0,0,0,0,0,0.000451308,0,0,0.001749645,0,0,0
CHST4,0,0.020411759,0,0.019465788,0.001371692,0.024056405,0,0.017377434,0.01988633,0,0,0,0,0,0,0,0.007934642,0,0,0
CHST7,0.092810095,0,0,0,0.061439135,0.021981878,0.05824894,0.045990945,0.026930353,0.031758455,0.026998646,0.04006303,0.021229912,0.35536195,0.009888046,0.024677645,0.097779555,0.022008308,0.084526365,0.06471969
CHST6,0,0,0,0,0.000102845,0.000681091,0,0,0,0,0.005395295,0,0,0,0,0,0,0,0,0
ITGAX,0.028967272,0.011852919,0,0.01112948,0.040948715,0.020924285,0,0.001302085,0.019099318,0.014519872,0.017541692,0.04534331,0.008776858,0.102121419,0.004459539,0.020442386,0.048555805,0.027441391,0.041330895,0.034084305
BCL2A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGAV,0,0,0,0,0.000105865,0,0,0.00194411,0,0,0.00545093,0.003804882,0.001230847,0.008332716,0,0.002271401,0.003248764,0.004776736,0,0
PREP,0,0,0,0,0.000352397,0.002675269,0,0,0.003051121,0.006456626,0,0.018695149,0.003086483,0.020594397,0,0,0.011169951,0.005744438,0.028149198,0.006336664
ITGAL,0.13929846,0.11298743,0,0.17675455,0.195793945,0.14268693,0.101482044,0.115499445,0.049586415,0.098124406,0.174284075,0.133666335,0.169376665,0.031454,0.20403,0.156614265,0.15533399,0.133936945,0.30244006,0.181439135
ITGAM,0.021994156,0.025813632,0,0.024760521,0.015371205,0.015500966,0.011491059,0.0308811,0.037141415,0.018695149,0.012211447,0.021756273,0.01722673,0.08377664,0.00901265,0.025744453,0.010857883,0.04264376,0.016778468,0.007739125
ITGAD,0.36133865,0.224472805,0,0.248692105,0.3598399,0.37739855,0.312208575,0.4590675,0.55772605,0.3460931,0.4208201,0.36840485,0.3312115,0.22199719,0.213873985,0.15499612,0.14979121,0.266329,0.24838292,0.19346865
ITGAE,0.083610525,0.08978624,0,0.091774885,0.04470605,0.101257127,0.105094043,0.154061545,0.121383665,0.11418402,0.221821685,0.114710115,0.20130203,0.011891214,0.114854935,0.14224083,0.10769466,0.13323645,0.128617705,0.17339293
IGF2R,0.015920765,0.009807706,0,0,0.01101484,0.020934847,0.016243649,0.012928393,0.018943013,0.012167652,0.008999565,0.018085463,0.011334916,0.025674849,0.014451155,0.007994485,0.02765138,0.015366144,0.013101365,0.005891236
SLC36A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC36A3,0.117380885,0.050745575,0,0.070511985,0.01063531,0.03374224,0.08914348,0.056886575,0.05578023,0.028777337,0.061439135,0.024444654,0.03821449,0.016125978,0.0358024,0.07016175,0.034818735,0.03374224,0.016995012,0.05480649
CKS1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC36A1,0.065945205,0.07686656,0,0.03953711,0.160023135,0.17710068,0.06543218,0.150109865,0.113168205,0.19216853,0.06077217,0.067374575,0.106577655,0.1661337,0.057669085,0.03709685,0.019048728,0.04160557,0.03299128,0.026972238
ARTN,0,0.044808575,0.26856778,0,0.039670465,0.006125153,0.040424055,0.028122417,0.045096095,0.011676746,0.035123405,0.016104245,0.026915145,0.085055015,0.012182861,0.024643308,0.039418515,0.029618804,0.070949985,0
ART1,0,0,0,0,0.00497944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ART3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ART5,0,0.014252489,0.174677945,0,0,0.025893738,0,0.018623411,0.020368636,0.01236029,0.019126246,0,0.004677813,0.00024317,0,0.00630679,0.002631486,0.020229533,0.003328674,0.002684443
ART4,0,0,0.1661337,0,0.02213834,0.01981183,0,0,0,0.016373991,0.04636564,0.022188692,0.018498302,0.027138686,0,0.022831633,0,0.027119962,0.026866701,0.085456775
MGC57346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRTAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CADPS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLF,0,0,0,0,0,0.002287257,0,0,0,0.001091949,0,0,0,0.0002728,0,0,0,0,0.002960481,0
CRTAP,0.07988334,0.131261065,0,0.13304013,0.060383965,0.070220455,0.17941679,0.11869441,0.134023265,0.09208806,0.125838135,0.067510065,0.08447249,0.06392161,0.11129343,0.025718785,0.0550518,0.100140026,0.03161124,0.052693105
RNU6-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPGK,0,0,0.17758847,0,0.005707665,0.001274003,0.011990953,0.003493159,0,0,0,0,0,0,0,0.001485463,0.014729203,0.003202057,0,0.003202057
HPYR1,0,0,0,0,0.00879426,0.046072415,0.027701789,0.011144928,0.06699718,0.06507009,0.04724162,0,0,0.04310364,0,0.034319205,0.020771915,0.0424564,0,0
CPEB4,1.0003637,1.12424635,0,0.62665965,0.3291391,0.5119439,0.79190925,0.233682925,0.258045255,0.26182197,0.245939415,0.31184999,0.251213825,0.232642085,0.27848149,0.11268003,0.226782335,0.105496021,0.167484895,0.22918919
CPEB1,0,0,0,0,0,0,0,0.000755941,0.001128737,0.001254889,0,0,0.001247165,0,0.004860254,0.001692321,0.003283432,0,0.001531325,0.002087083
CPEB3,0.03366936,0.01073899,0.138250805,0.020061515,0.029936486,0.016740064,0.009584314,0.023524064,0.016784336,0.023710924,0.014978906,0.03402575,0.014898397,0.028055512,0.012279159,0.047455175,0.06272855,0.03359561,0.05588589,0.03132206
CPEB2,0,0,0,0,0.000105354,0,0,0.000921231,0,0,0,0,0,0,0,0,0,0,0,0
SRBD1,0,0,0,0,0,0,0,0.001821739,0,0,0.012317769,0.00246111,0,0,0,0,0,0,0,0
ABAT,0,0.024876288,0,0.016711434,0.029078845,0.012096831,0.015636198,0.022197477,0.049163865,0.045096095,0.013494016,0.0381703,0.025358575,0.126586935,0.03132206,0.016613532,0.023332322,0.023222653,0.03656402,0.04944391
POU5F1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC284865,0.250928215,0.3561999,0,0.32232245,0.145745705,0.22199719,0.3536389,0.096565469,0.090152165,0.150109865,0.158292785,0.172476535,0.193815585,0.04743692,0.29243673,0.24193834,0.162131905,0.084693115,0.191725185,0.10850704
PHOX2A,0,0.08775705,0.21590734,0.023999411,0.127305015,0.105418678,0.11660471,0.100873135,0.082329325,0.07859858,0.047356585,0.092364455,0.05115894,0.016764487,0.022601089,0.053625,0.04221304,0.073085155,0.137237865,0.095623907
PHOX2B,0,0,0,0,0.00032317,0.007035168,0.009366646,0,0,0,0,0.002968652,0,0.000666302,0,0,0,0,0,0
NLRP14,0,0,0,0,0.000226885,0.001654545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009854389
UPK2,0,0,0,0,0.009824502,0.049174385,0,0,0.041005285,0,0,0,0,0,0,0.018438376,0.022410713,0,0,0
CFH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFI,0,0,0,0,0,0,0,0.003758052,0,0.004150237,0,0,0,0,0,0,0,0,0,0
ANKFY1,0.11129343,0.158912025,0,0.142337255,0.044310425,0.082700483,0.23186318,0.062545915,0.057344545,0.044808575,0.06575722,0.0913296,0.051215325,0.18347901,0.055412395,0.031711455,0.08834506,0.04048682,0.059206955,0.077931
CFB,0,0,0,0.024434142,0,0,0,0,0,0,0,0,0,0,0,0.00341648,0,0,0,0
TPT1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01375641
CFP,0.26277904,0.20181254,0,0.22918919,0.08392528,0.13277436,0.6636935,0.115026675,0.115499445,0.18347901,0.20527974,0.14498868,0.09208806,0.032129215,0.1524223,0.077288875,0.079293905,0.13505842,0.061321675,0.15800621
REREP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIDT1,0,0,0,0,0.004330226,0.00329936,0.006620005,0,0,0,0.004995705,0.005225871,0,0.007429895,0,0.002769312,0.00394084,0,0.003061631,0
SIDT2,0,0,0,0,0,0,0,0,0,0,0,0.00272467,0,0,0,0,0,0,0,0
PISRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC283070,0,0,0,0,0,0,0,0.000532574,0,0.000512441,0.004641698,0.000763422,0.001227353,0.001438954,0,0.001404033,0,0,0.009270306,0
SAGE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAGAB,1.35450475,1.8236885,4.6670465,0.72322555,0.31135059,0.3584762,0.4746041,0.47223055,0.51974045,0.5641851,0.5346966,0.52292065,0.6021356,0.19139707,0.9317586,0.49635415,0.273241825,0.303540325,0.20870879,0.44112475
C4orf19,0,0,0,0,0.000246843,0,0.00805208,0,0,0,0,0,0,0,0,0,0,0,0,0
C4orf17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEL1,0,0,0,0,0,0.002800644,0,0,0,0.002831095,0,0.003174449,0.01594,0.000612884,0,0,0.017252344,0,0.02921057,0
EFHA1,0,0,0,0,0,0,0,0,0.010909954,0,0,0.009671754,0,0.000253147,0,0,0,0,0,0
EFHA2,0,0.029678854,0,0.02746067,0.033463245,0.018415066,0.012982554,0.00850063,0.012204161,0.006992147,0.007003316,0.03305,0.025177368,0.026379498,0.018606592,0.041797195,0.024568196,0.024434142,0.03649668,0.0399908
NBEAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INGX,0,0,0,0,0,0,0,0.017198069,0,0,0,0,0.010720934,0.093983511,0,0.012567995,0.015298344,0,0,0.0038022
ETV3L,0.085724935,0.05847546,0.35303495,0,0.123249275,0.136219085,0.04668979,0.070949985,0.130666875,0.040615065,0.075285645,0.19315511,0.104099169,0.4438666,0.04356207,0.109223905,0.098785719,0.17991159,0.101363626,0.186081245
TEN1-CDK3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E-08,0,0,0,0,0,0
MSL3P1,0,0,0,0.02058886,0.078278355,0.104538891,0.013499759,0.019440008,0.021487946,0.027017281,0.031454,0.0515318,0.04186288,0.14498868,0.027331941,0.117933325,0.078815555,0.053392645,0.071973603,0.1253809
LOC286297,0,0,0,0,0,0,0,0,0,0,0.004452175,0,0.002546256,0,0,0,0,0,0.001382703,0.006024912
C15orf26,0,0.05155693,0.154539925,0,0.06748306,0.007324882,0,0.145504185,0.232642085,0.102998097,0.09682829,0.061620795,0.11155124,0.06223194,0.241044145,0.186459415,0.023004809,0.0585378,0.095282328,0.042121325
C15orf27,0,0,0.128319675,0,0.005125773,0.003813136,0.020903052,0.003291258,0,0.026176209,0.017857908,0.011434776,0.008979774,0,0,0.011446478,0.007058615,0.050401655,0,0
ZNF117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF114,0,0.03634666,0,0,0.005990868,0.004350536,0,0.009549364,0.009292543,0.028829597,0,0,0.010027377,0.010215289,0.010271533,0.006066718,0.007669704,0,0,0
SEZ6L,2.067212,1.6807764,0,1.6438856,1.8325335,1.8962035,2.48049,0.72993585,0.74046285,0.74790585,0.856435,0.81340065,0.956996,1.15214795,1.15835615,1.4512561,1.66435515,1.4211956,1.3376776,2.1011435
PRKAR2A,0.290467435,0.3567154,0,0.41038365,0.4879854,0.62314415,0.313848155,0.150559995,0.16545186,0.13464242,0.11652414,0.14097919,0.13464242,0.13533568,0.132592225,0.103806517,0.19441036,0.2038123,0.14074385,0.14001003
PRKAR2B,0,0,0,0.012616756,0.000244118,0.005520654,0.007983925,0,0.002340619,0.004810488,0,0.007231391,0.005346811,0.041658715,0.005578129,0.006917227,0.031430935,0,0.004005551,0.015608897
S1PR5,0.014757505,0.034430285,0,0.017757964,0.05227885,0.050833675,0.040263405,0.045460185,0.06283146,0.04484653,0.011456296,0.020086003,0.023686221,0.056238505,0.023442124,0.06894085,0.0413919,0.01444124,0.058386805,0.036893315
TMEM200B,0.028395946,0.03244275,0.126586935,0.091117665,0.000742048,0.036318435,0.085795235,0.0538318,0.041558605,0.037765195,0.07413356,0.078815555,0.043674485,0.06729996,0.034884265,0.078176355,0.027489443,0.034747495,0.04148633,0.007527133
ITGA2B,0,0,0,0,0.000280192,0,0,0.002077989,0,0,0,0.014058505,0.000877458,0.003519674,0.007648801,0,0.005086763,0,0,0
PHACTR4,0.08487382,0.06257467,0.308971345,0.08368994,0.01990617,0.029117596,0.067510065,0.0865347,0.050526775,0.070552625,0.085354635,0.06969806,0.03895817,0.154629205,0.103068236,0.07298192,0.07706442,0.063783495,0.04082677,0.070824535
NLGN2,0.12410822,0.2313825,0,0.214481565,0.56636785,0.46003295,0.236157445,0.81680335,0.6276324,0.7826484,0.6649171,0.3965882,0.5405556,0.121886175,0.28025212,0.48016135,0.5943936,0.84843235,0.4438666,0.56921495
OR2K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005570098,0,0,0,0,0,0
PHACTR3,0,0.035713885,0,0,0.011587954,0.018372645,0.023123108,0.022158606,0.029605483,0.022554214,0.022497818,0.013329029,0.04209739,0.006698073,0.031851765,0.035833215,0.0308811,0.030954735,0.024466948,0.008944377
NUP107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494366,0,0,0,0,0,0
KRTAP2-3,0,0,0.096212899,0,0,0,0,0,0.005067728,0,0,0,0.000921231,0,0,0,0.009292543,0,0,0
KRTAP2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP2-1,0,0,0,0,0,0,0.005534541,0,0,0,0,0,0.000942452,0,0.05985831,0,0.007214794,0,0,0
KRTAP2-4,0,0,0,0,0,0,0,0,0.002980909,0,0,0,0,0,0,0,0,0,0.002135218,0
MIR4708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4706,0,0,0,0,0,0,0,28.325755,0,35.7575125,0,0,0,0,0,0,0,0,0,0
MIR4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.2471,0,123.61215,227.08245
SBF1P1,0,0,0,0,0.000118947,0,0,0,0.001028274,0,0,0.00159827,0.000892794,0.000103174,0,0,0,0,0.002620512,0
VMP1,0,0,0,0,0.001261606,0,0,0,0,0.004121383,0,0,0,0,0.010387118,0,0,0,0,0
EPN2-AS1,0,0,0,0,0,0.011022724,0,0,0,0,0,0.017507256,0.010387118,0,0,0.013172741,0.016020761,0,0,0
NR1D1,0,0.016464212,0,0,0.000447191,0.002976516,0.010057407,0.016550129,0.007128158,0.006906167,0,0.013047585,0,0.008872462,0,0.004603686,0,0.006048022,0,0
NR1D2,9.0094,14.2398775,0,15.1439835,9.5702,16.3912165,16.3912165,3.3475055,3.721928,2.618041,4.8606615,6.6130355,5.192293,7.047391,8.549754,6.242178,5.31038,4.905508,7.047391,10.621441
UFSP1,0,0,0,0,0,0,0,0,0,0.00183765,0,0,0,0,0,0,0,0.024068575,0,0.024336034
OGFR,0,0,0,0,0.000818965,0.003741829,0,0.003248764,0.008263058,0,0,0.003754627,0.005216227,0.003860247,0,0,0,0.03567347,0,0.004151795
PTCH2,0,0,0,0,0.001422067,0.001700528,0,0.006725187,0,0.000605566,0,0,0,0.003608561,0,0,0,0,0,0.002641955
PTCH1,0,0,0,0,7.37E-06,0,0,0,0,0,0,0.000621059,0,1.87E-05,0,0.001183642,0,0,0.002980909,0.002975155
AOAH-IT1,0.72687805,0.164236145,0,0.07532419,1.64758535,0.6334054,0.168098115,0.3243868,1.09759575,0.7736882,0.5534787,2.3970995,0.81895155,19.0941135,0.7151884,1.25166315,3.6327825,1.13002835,7.647127,2.548856
TIMM44,0,0.02178112,0,0,0,0,0.013450632,0.049184905,0.000926422,0.021336345,0.01217129,0,0.023890135,0.00747747,0,0.006753946,0.017138049,0.01733183,0,0.010010991
RAD9B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD9A,0.08540159,0.107146419,0.62113235,0.098975019,0.17260068,0.179773305,0.06583964,0.07699635,0.16776676,0.19525299,0.09202568,0.186459415,0.13238888,0.380443,0.08840553,0.176632195,0.232869485,0.200980055,0.25563546,0.14979121
ERGIC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015803111,0,0,0,0,0,0
ERGIC3,0,0.060219935,0,0,0.022497818,0,0,0.107554495,0.121216065,0.125740515,0.04696988,0.014898397,0.047356585,0,0.1557575,0.023151508,0.055347525,0.04209739,0.027393502,0
ERGIC1,0,0,0,0.014675304,0.003382511,0.012211447,0.024691427,0.022048616,0.013883409,0.048555805,0.03389015,0.012240471,0.011111007,0.02930402,0.054266575,0.023637266,0.022688007,0.005767868,0.03375514,0.027570168
MIR3165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3GAT3,0.96264575,0.7658514,0.5878014,0.267054885,0.171041285,0.28305135,0.46520785,0.124761655,0.084728125,0.104986152,0.21009117,0.10938892,0.113829295,0.067029405,0.16092959,0.063747855,0.17117082,0.12511285,0.04317974,0.012513263
B3GAT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3GAT1,0,0,0,0,0,0.001808386,0,0,0.002345657,0,0,0,0,0.001524315,0,0,0,0,0,0
MIR3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALM2,0,0,0,0,0.023874539,0.009655721,0.020688267,0.121455785,0.13717689,0.112411775,0.018219921,0,0.080355235,0.013407323,0.104415282,0.049350345,0,0.101969863,0.028911364,0.03524034
CALM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003793731,0,0,0,0,0,0
SPG21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPG20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSDMA,0,0.020115103,0,0.019191095,0.001282752,0.036090705,0.023091557,0.027119962,0.019465788,0.004137392,0.028758714,0.0269422,0.004605772,0.039382745,0.0180429,0.012952095,0.03975248,0,0,0.008934013
GSDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002357095,0,0,0,0,0,0.01341251
GSDMC,0.04548367,0.40706645,0,0.3001371,0.050833675,0.128501635,0.218623795,0.24977788,0.47223055,0.35033685,0.4302686,0.36924685,0.258045255,0.03215851,0.39137325,0.218623795,0.267054885,0.2518776,0.126128715,0.26410144
GSDMD,0,0,0,0.023151508,0.00015984,0,0,0,0.012136322,0,0,0.003273083,0,0,0,0,0,0,0,0.01157011
UPK1A,0,0.12342573,0,0,0.242126825,0.146694305,0.04128801,0.18903362,0.24393828,0.153857185,0.05285242,0.066836745,0.18673551,0.49498955,0.03208189,0.13135302,0.256180765,0.210324285,0.107214034,0.07755238
UPK1B,0.0581602,0.03906836,0,0.13972751,0.064792545,0.076503915,0.107146419,0.038805055,0.04088662,0.07863581,0.06494165,0.08297862,0.06494165,0.001299643,0.15440784,0.14954793,0.10278279,0.067374575,0.116377555,0.096072084
DLGAP2,0,0,0,0,0,0.003177276,0.005433134,0,0,0.004060905,0,0,0,0.000262186,0.004396606,0.003687938,0.002082349,0.006171228,0.000772675,0.002723036
DLGAP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212011,0,0,0,0,0,0
DLGAP1,0,0,0,0,0.000162683,0.003128418,0,0,0.001015642,0,0,0.000892794,0,0.001565735,0,0,0.007503668,0,0,0.005207119
DLGAP4,0.014660292,0.009353428,0,0.00917316,0.021791328,0.018614506,0.006159866,0.03244275,0.025873934,0.01966646,0.011953732,0.007159926,0.01599825,0.005084186,0.029409717,0.005566181,0.014764136,0.040298705,0.020014136,0.007588668
DLGAP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP27B1,0,0,0,0,0,0,0,0,0,0,0,0.001625418,0,0.000278305,0,0,0,0,0,0
OIP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM169A,0.032588505,0.03211563,0,0.010082192,0.160326455,0.062861175,0.016748869,0.033563225,0.078176355,0.03260289,0.059722745,0.10762419,0.06769653,0.4629405,0.03063849,0.107848825,0.175773935,0.13422364,0.124623545,0.11801633
INO80B-WBP1,0,0,0,0,0,0,0,0.000322973,0.000488413,0,0,0.000439612,0.000416196,5.81E-06,0,0,0,0,0.000711296,0
FBXL18,0,0.03219128,0,0.009256668,0.028223166,0.024942339,0.015298344,0.012273407,0.012640631,0.031913175,0.019135347,0.025358575,0.010304559,0.025402577,0.005750965,0.030225955,0.011273979,0.02466873,0.007058615,0.011587954
MIR506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN13,0.08055949,0.07318688,0,0.08239482,0.14446155,0.107027886,0.1128793,0.050939765,0.099047807,0.05346019,0.04909834,0.149044515,0.080093065,0.3513954,0.092532965,0.079504385,0.17537612,0.093149029,0.167909835,0.17537612
PTPN12,0,0,0,0,0.000293218,0,0,0.002188579,0.005889688,0,0.01375641,0.001656651,0,0,0,0,0,0,0,0
PTPN11,0,0,0,0,0.000291188,0.002248806,0,0,0,0,0,0,0,4.15E-05,0,0,0,0,0.00179446,0
PTPN14,0,0.009416264,0,0.008711454,0.000104537,0,0,0.000706296,0.003123813,0.002087083,0.005409756,0,0.000499003,0,0,0,0,0.002352349,0.002811417,0
LYAR,0,0,0,0,0,0,0.018292268,0.013827804,0.015487519,0.007162893,0,0.013403769,0,0,0,0,0,0,0,0
C2orf81,0,0,0,0,0,0,0.012217073,0.003592976,0,0.018651164,0,0,0.00994221,0.031711455,0.024519288,0.005987621,0.007580005,0.015323038,0,0.018195618
C2orf80,0,0,0,0,0,0,0,0,0,0,0,0,0.010106616,0,0,0,0.015587318,0,0,0
