RNF14	1
GAS5-AS1	1
GTF2IP1	1
SYNGR2	1
C16orf13	1
C16orf11	1
CHMP1B	1
PMM2	1
PMM1	1
ZNF709	1
ZNF708	1
CAMK1	1
ZNF701	1
ZNF700	1
ZNF707	1
CAMK4	1
LOC339240	1
SPN	1
TCOF1	1
NUP98	1
XPC	1
SP2	1
SP4	1
SP6	1
LOC149950	1
RAB40C	1
RAB40B	1
GTSE1	1
OVCH2	1
OVCH1	1
SPPL2C	1
SPPL2B	1
UGCG	1
ATP2A1	1
ATP2A3	1
ITGA3	1
RIT1	1
DENND4A	1
DENND4C	1
SWAP70	1
LOC100132287	1
ZNF664-FAM101A	1
PHLDA2	1
LOC100652772	1
MRPL28	1
FBXL13	1
FBXL12	1
FBXL16	1
FAM169A	1
FBXL18	1
GHDC	1
H19	1
KANSL1-AS1	1
FAM212A	1
CHST8	1
HMGB3P1	1
COL4A3	1
CHST3	1
CHST7	1
ITGAX	1
ITGAL	1
ITGAM	1
FAM134C	1
ITGAE	1
FAM134A	1
TRERF1	1
SMAD5	1
SMAD6	1
SMAD7	1
SMAD2	1
SMAD3	1
MUS81	1
TMPRSS11A	1
IGF2R	1
ABHD14B	1
ZC3H10	1
SLC36A3	1
SLC36A1	1
GATM-AS1	1
ERICH1	1
C14orf119	1
HERC2P2	1
HERC2P4	1
TCEA2	1
TCEA3	1
TMLHE-AS1	1
CCDC113	1
ATP1A3	1
MGRN1	1
TMEM67	1
CRTAP	1
CBLC	1
IPO11	1
HPYR1	1
CPEB4	1
CPEB3	1
SIRPD	1
ABAT	1
RHEBL1	1
TP53TG1	1
GRINA	1
KISS1R	1
LOC284865	1
ATG4B	1
PHOX2A	1
LRGUK	1
UPK2	1
ANKFY1	1
SMKR1	1
ATP6V0E1	1
CFP	1
ADCY10P1	1
SIX1	1
LOC100506385	1
CNPY3	1
IGFBPL1	1
LINC00303	1
HMG20A	1
HMG20B	1
AAGAB	1
C3orf70	1
MRO	1
EFHA2	1
TIGD1	1
SYPL2	1
RFX5	1
RFX1	1
RFX2	1
RFX3	1
APC	1
TMEM179B	1
ETV3L	1
UQCRC2	1
XPNPEP1	1
GGCX	1
GGCT	1
LHCGR	1
MSL3P1	1
DPYSL5	1
HBE1	1
OSR2	1
C15orf26	1
C15orf27	1
GJA5	1
PMS2P1	1
PMS2P3	1
PRR7-AS1	1
KDM3B	1
SEZ6L	1
TMC6	1
EIF2B4	1
EIF2B5	1
EIF2B3	1
PRKAR2A	1
PRKAR2B	1
TXNIP	1
S1PR4	1
QPRT	1
IFT140	1
MLF2	1
CDRT15P1	1
TMEM14A	1
MECOM	1
RSPH1	1
TPBGL	1
C9orf129	1
C9orf123	1
LOC646719	1
CLIC6	1
PHACTR4	1
CLIC5	1
NLGN2	1
CLIC3	1
PHACTR3	1
CLIC1	1
KRTAP2-3	1
KRTAP2-1	1
KIAA0020	1
ASGR1	1
ASGR2	1
TMEM141	1
MIR4706	1
MIR4703	1
SOWAHD	1
OR5AN1	1
PKD1P1	1
ZMAT2	1
C19orf24	1
C19orf25	1
NR1D2	1
ZNF7	1
ZNF3	1
TIPIN	1
LOC284294	1
SBDS	1
VCL	1
VCP	1
CPLX3	1
CPLX1	1
SEPT7L	1
PBX4	1
NSUN7	1
NSUN6	1
TUBG2	1
FAM71F1	1
FAM71F2	1
TARP	1
AOAH-IT1	1
TIMM44	1
PAGR1	1
RAD9A	1
ERGIC3	1
ERGIC1	1
B3GAT3	1
FAM66D	1
FAM66C	1
PLN	1
CALM2	1
TTC30A	1
TTC30B	1
CALM1	1
GSDMA	1
GSDMC	1
UPK1A	1
UPK1B	1
MBNL3	1
CLCN7	1
CLCN6	1
BRD8	1
