C10orf32	1
SNORD115-1	1
MIR550A3	1
SNORD22	1
SLC7A5P2	1
EFCAB4A	1
ZNF358	1
MIR369	1
MIR567	1
MIR409	1
C1S	1
HLA-DQA2	1
HECTD3	1
NGDN	1
MIR4479	1
MIR3198-2	1
MIR1193	1
MROH8	1
LRFN4	1
S100A16	1
PLVAP	1
MIR4513	1
BCS1L	1
MIR4518	1
SNORD116-3	1
SAP18	1
PIANP	1
CCIN	1
SERPINB9	1
MIR3177	1
C12orf42	1
MIR200C	1
SCGB2A1	1
KRTAP10-6	1
LOC613038	1
ZNF569	1
LINC00852	1
ASPHD1	1
BEND3P3	1
ZNF213	1
TRIM36	1
SNORD115-18	1
SSU72	1
SNORD115-14	1
SNORD115-17	1
SNORD115-11	1
FLG	1
UBAP1	1
MIR639	1
MIR636	1
SNORA7A	1
PCTP	1
LINC00324	1
PIK3R2	1
TFE3	1
PCBP1	1
SIRT3	1
RTN4R	1
SNORD116-12	1
SNORD32A	1
TTC9	1
PDIA3P	1
TMPRSS12	1
MIR3179-1	1
CHRM1	1
SNORA77	1
SNORA70	1
OLFML2B	1
MIR517C	1
LOC100129518	1
MIR541	1
MIR22HG	1
MIR522	1
MIR524	1
DEFA11P	1
MIR103A1	1
MIR1250	1
MIR1253	1
MIR103A2	1
MIR940	1
MIR891B	1
MIR4490	1
MIR512-2	1
MIR512-1	1
CCDC101	1
SGOL1-AS1	1
MIR455	1
MIR3682	1
REEP2	1
FGF17	1
SNORD121B	1
FAM49B	1
HIST1H1T	1
STAG3L4	1
COL9A2	1
SNORD92	1
DEGS2	1
TACC1	1
LINC00260	1
PRM3	1
PSMB8	1
PSMB3	1
ARL2	1
SCP2	1
CKMT1A	1
VHL	1
MIR4478	1
MIR101-1	1
P2RX6	1
C12orf71	1
C5orf28	1
MIR3148	1
CRABP2	1
SNORD26	1
SNORD28	1
SNORA16A	1
CRY2	1
TMEM115	1
AHDC1	1
SNORD7	1
LINC00568	1
SCARNA21	1
MIR5088	1
SLC35E2	1
VPS13A	1
GSG1	1
LDHC	1
MIR4725	1
GLIPR2	1
MIR4688	1
SNORA38	1
SNORD116-15	1
SNORD116-16	1
OR10J5	1
FAM101B	1
ILF3-AS1	1
SSBP4	1
NPM2	1
MIR101-2	1
KCNT1	1
GNA11	1
ATF4	1
TBC1D10B	1
