TLCD2	1	0	0	0
IFFO1	0	0	1	0
TAP2	1	0	0	0
FKBP2	0	0	1	0
MIR4263	0	0	0	1
MIR4265	0	0	1	0
MIR4294	0	0	1	0
RTN4R	1	0	0	0
MIR554	0	0	1	0
MIR556	0	0	0	1
IRX5	0	1	0	0
MIR410	0	0	0	1
THY1	0	0	1	0
SCLY	1	0	0	0
MIR3960	0	0	0	1
MIR1203	0	0	0	1
ZMYM4	0	0	1	0
GIP	0	0	0	1
GRINA	1	0	0	0
C17orf76-AS1	1	0	0	0
SEC14L1P1	0	0	1	0
MEG9	1	0	0	0
MEG8	1	0	0	0
SH3GL1P2	0	0	1	0
TRAPPC4	0	0	1	0
DDX47	0	0	1	0
MIR19B2	0	0	0	1
NPW	0	0	1	0
TCF19	1	0	0	0
MIR376A2	0	0	0	1
MIR376A1	0	0	0	1
SNORA70B	0	1	0	0
SNORD65	0	0	1	0
MIR23B	0	0	0	1
C1orf21	0	0	1	0
SNORD69	0	0	0	1
ZG16B	1	0	0	0
WDR43	1	0	0	0
MIR3689C	0	0	0	1
CCT3	0	0	1	0
LTC4S	1	0	0	0
GRM4	0	0	1	0
C12orf57	0	0	1	0
MIR4766	0	0	0	1
SNAR-A12	1	0	0	0
MIR4764	0	0	0	1
SNORD115-20	0	0	0	1
SNORD48	0	0	0	1
MOGAT2	1	0	0	0
ZNF382	1	0	0	0
MIR608	0	0	1	0
POLR2E	1	0	0	0
VTRNA1-2	0	1	0	0
SNORD71	0	0	0	1
PPIA	1	0	0	0
EFCAB4A	0	0	1	0
C22orf24	1	0	0	0
SNORD41	0	0	0	1
MIR4322	0	1	0	0
LINC00852	1	0	0	0
SNORA69	1	0	0	0
MIR4717	0	0	0	1
SNORA65	0	0	0	1
OR6Y1	1	0	0	0
MIR3148	0	0	0	1
DCTN4	1	0	0	0
LOC647323	0	0	0	1
SNORD115-22	0	0	0	1
MIR4295	0	0	0	1
MIR122	0	0	0	1
TUG1	1	0	0	0
MIR129-1	0	1	0	0
ZNF81	0	0	1	0
RXRB	1	0	0	0
MIR411	0	0	1	0
CTNNB1	0	0	0	1
MIR4787	0	0	1	0
FAM109B	1	0	0	0
AK2	1	0	0	0
MIR412	0	0	0	1
EI24	0	0	1	0
MIR3656	0	1	0	0
WDR82	1	0	0	0
MIR558	0	0	0	1
MIR499A	0	1	0	0
MIR3659	1	0	0	0
SNAR-C4	0	1	0	0
SNAR-C3	0	1	0	0
SNAR-C2	0	0	0	1
C1orf64	1	0	0	0
CXCR5	1	0	0	0
MIR518C	0	0	1	0
